city_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,42.3,68,100,7.92,overcast clouds
1,Saskylakh,RU,71.9167,114.0833,50.5,72,72,10.54,broken clouds
2,Umm Lajj,SA,25.0213,37.2685,91.18,55,31,7.02,scattered clouds
3,Kodinsk,RU,58.6881,99.1844,55.18,98,100,2.8,overcast clouds
4,Castro,BR,-24.7911,-50.0119,45.75,92,96,14.25,overcast clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,80.56,83,92,8.01,overcast clouds
6,Pangnirtung,CA,66.1451,-65.7125,45.19,81,90,2.15,overcast clouds
7,Butaritari,KI,3.0707,172.7902,81.57,77,94,17.63,light rain
8,Coahuayana,MX,18.7333,-103.6833,90.88,56,86,5.03,overcast clouds
9,Upernavik,GL,72.7868,-56.1549,40.55,84,97,6.69,overcast clouds
10,Kapaa,US,22.0752,-159.319,78.48,86,75,14.97,broken clouds
11,Norman Wells,CA,65.282,-126.8329,47.84,87,100,8.99,light rain
12,Bathsheba,BB,13.2167,-59.5167,88.41,66,40,11.5,scattered clouds
13,Punta Arenas,CL,-53.15,-70.9167,46.51,71,0,11.5,clear sky
14,Pyshchug,RU,58.8873,45.7134,53.83,97,60,5.53,broken clouds
15,Tuktoyaktuk,CA,69.4541,-133.0374,44.46,88,100,26.31,light rain
16,Mount Pleasant,US,32.7941,-79.8626,94.98,63,40,13.8,haze
17,Ushuaia,AR,-54.8,-68.3,46.02,70,0,2.3,clear sky
18,Hermanus,ZA,-34.4187,19.2345,55.8,87,100,8.66,overcast clouds
19,Teguldet,RU,57.3064,88.1667,61.34,89,25,3.47,scattered clouds
20,Luanda,AO,-8.8368,13.2343,69.8,83,0,6.91,clear sky
21,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,100,75,0.0,broken clouds
22,Dunedin,NZ,-45.8742,170.5036,40.8,79,100,3.0,overcast clouds
23,Busselton,AU,-33.65,115.3333,50.7,81,20,4.99,few clouds
24,La Asuncion,VE,11.0333,-63.8628,87.53,66,81,12.66,broken clouds
25,Hobart,AU,-42.8794,147.3294,42.66,82,93,8.05,overcast clouds
26,Mataura,NZ,-46.1927,168.8643,36.64,93,99,1.81,overcast clouds
27,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,5.75,broken clouds
28,Cape Town,ZA,-33.9258,18.4232,58.1,91,100,5.99,overcast clouds
29,Thompson,CA,55.7435,-97.8558,70.3,34,1,5.93,clear sky
30,Hilo,US,19.7297,-155.09,87.28,89,100,3.44,overcast clouds
31,New Norfolk,AU,-42.7826,147.0587,42.3,75,84,2.44,broken clouds
32,Georgetown,MY,5.4112,100.3354,82.33,80,20,0.0,few clouds
33,Klaksvik,FO,62.2266,-6.589,54.52,82,93,25.12,overcast clouds
34,Waipawa,NZ,-41.4122,175.5153,40.62,80,81,8.9,broken clouds
35,Iqaluit,CA,63.7506,-68.5145,54.7,66,0,10.0,clear sky
36,Hecun,CN,36.5333,114.1111,71.35,90,93,3.04,overcast clouds
37,Laramie,US,41.3114,-105.5911,84.58,20,0,21.85,clear sky
38,Ekhabi,RU,53.5102,142.9671,55.74,86,96,6.13,overcast clouds
39,Kuliyapitiya,LK,7.4688,80.0401,75.79,88,52,5.03,broken clouds
40,Pacific Grove,US,36.6177,-121.9166,76.33,70,0,8.99,clear sky
41,Lebu,CL,-37.6167,-73.65,52.16,70,66,4.83,broken clouds
42,Namibe,AO,-15.1961,12.1522,62.69,89,12,8.88,few clouds
43,Yellowknife,CA,62.456,-114.3525,59.56,82,100,13.0,overcast clouds
44,Geraldton,AU,-28.7667,114.6,43.21,93,10,5.75,clear sky
45,Isangel,VU,-19.55,169.2667,71.71,83,40,6.91,scattered clouds
46,Tahta,EG,26.7693,31.5021,93.74,24,0,12.84,clear sky
47,Fortuna,US,40.5982,-124.1573,73.9,61,20,4.61,few clouds
48,Haines Junction,CA,60.7522,-137.5108,46.78,95,100,3.2,light rain
49,Saint-Pierre,RE,-21.3393,55.4781,68.92,60,20,20.71,few clouds
50,Yulara,AU,-25.2406,130.9889,52.36,63,100,5.48,overcast clouds
51,Lewisporte,CA,49.2499,-55.0482,68.72,44,0,8.63,clear sky
52,Zeya,RU,53.75,127.2667,51.91,95,83,3.89,broken clouds
53,Narsaq,GL,60.9167,-46.05,53.82,55,97,5.61,overcast clouds
54,Avarua,CK,-21.2078,-159.775,66.25,94,6,2.3,clear sky
55,Kamloops,CA,50.6665,-120.3192,87.53,31,22,1.59,few clouds
56,Khorixas,NA,-20.3667,14.9667,71.4,26,0,12.46,clear sky
57,Qaanaaq,GL,77.484,-69.3632,38.17,63,7,3.22,clear sky
58,Humaita,BR,-7.5061,-63.0208,88.0,46,89,4.88,overcast clouds
59,Mnogovershinnyy,RU,53.9353,139.9242,49.48,98,100,4.09,overcast clouds
60,Coihueco,CL,-36.6167,-71.8333,52.54,66,40,4.61,haze
61,Bila Tserkva,UA,49.8094,30.1121,62.74,84,96,3.09,overcast clouds
62,Tasiilaq,GL,65.6145,-37.6368,39.36,81,34,6.8,scattered clouds
63,Bredasdorp,ZA,-34.5322,20.0403,54.05,92,100,4.61,overcast clouds
64,Port Augusta,AU,-32.5,137.7667,52.68,63,100,6.46,overcast clouds
65,Mandalgovi,MN,45.7625,106.2708,68.74,56,9,6.69,clear sky
66,Ilulissat,GL,69.2167,-51.1,42.82,87,100,6.91,light intensity drizzle
67,Palana,RU,59.1167,159.9667,50.2,98,100,3.29,light rain
68,Jumla,NP,29.2747,82.1838,63.64,97,95,2.98,overcast clouds
69,Boyolangu,ID,-8.1181,111.8935,74.32,94,70,3.11,broken clouds
70,Jamestown,US,42.097,-79.2353,78.06,48,40,6.91,scattered clouds
71,Burnie,AU,-41.0667,145.9167,49.95,75,72,10.56,broken clouds
72,Damghan,IR,36.1683,54.348,78.22,44,0,2.51,clear sky
73,Dauphin,CA,51.1494,-100.0502,69.13,48,65,6.24,broken clouds
74,Tapes,BR,-30.6733,-51.3958,61.21,68,66,11.97,broken clouds
75,Tres Passos,BR,-27.4556,-53.9319,56.97,70,69,10.27,broken clouds
