City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bluff,NZ,42.3,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
2,Umm Lajj,SA,91.18,scattered clouds,25.0213,37.2685,Moon light Furnished Units
4,Castro,BR,45.75,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
5,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Pangnirtung,CA,45.19,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
7,Butaritari,KI,81.57,light rain,3.0707,172.7902,Isles Sunset Lodge
8,Coahuayana,MX,90.88,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
9,Upernavik,GL,40.55,overcast clouds,72.7868,-56.1549,Café de Upernavik
10,Kapaa,US,78.48,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
11,Norman Wells,CA,47.84,light rain,65.282,-126.8329,Heritage Hotel
12,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
13,Punta Arenas,CL,46.51,clear sky,-53.15,-70.9167,Hotel Hain
15,Tuktoyaktuk,CA,44.46,light rain,69.4541,-133.0374,End of The Road Ltd.
16,Mount Pleasant,US,94.98,haze,32.7941,-79.8626,Best Western Patriots Point
17,Ushuaia,AR,46.02,clear sky,-54.8,-68.3,Albatross Hotel
18,Hermanus,ZA,55.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
20,Luanda,AO,69.8,clear sky,-8.8368,13.2343,EPIC SANA Luanda
21,Petropavlovsk-Kamchatskiy,RU,52.39,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
22,Dunedin,NZ,40.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
23,Busselton,AU,50.7,few clouds,-33.65,115.3333,Observatory Guest House
24,La Asuncion,VE,87.53,broken clouds,11.0333,-63.8628,Colinas de Matasiete
25,Hobart,AU,42.66,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
26,Mataura,NZ,36.64,overcast clouds,-46.1927,168.8643,Ellie's Villa
27,Longyearbyen,SJ,48.04,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
28,Cape Town,ZA,58.1,overcast clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
29,Thompson,CA,70.3,clear sky,55.7435,-97.8558,Burntwood Hotel
30,Hilo,US,87.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
31,New Norfolk,AU,42.3,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
32,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
33,Klaksvik,FO,54.52,overcast clouds,62.2266,-6.589,Airbnb rooms
34,Waipawa,NZ,40.62,broken clouds,-41.4122,175.5153,Tora Coastal Walk
35,Iqaluit,CA,54.7,clear sky,63.7506,-68.5145,Frobisher Inn
36,Hecun,CN,71.35,overcast clouds,36.5333,114.1111,Yijia Hotel
37,Laramie,US,84.58,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
39,Kuliyapitiya,LK,75.79,broken clouds,7.4688,80.0401,Rest House
40,Pacific Grove,US,76.33,clear sky,36.6177,-121.9166,Lovers Point Inn
41,Lebu,CL,52.16,broken clouds,-37.6167,-73.65,Hostal Las Lilas
42,Namibe,AO,62.69,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
43,Yellowknife,CA,59.56,overcast clouds,62.456,-114.3525,The Explorer Hotel
44,Geraldton,AU,43.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
45,Isangel,VU,71.71,scattered clouds,-19.55,169.2667,Tanna Lodge
46,Tahta,EG,93.74,clear sky,26.7693,31.5021,فندق الزيات
47,Fortuna,US,73.9,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
48,Haines Junction,CA,46.78,light rain,60.7522,-137.5108,Parkside Inn
49,Saint-Pierre,RE,68.92,few clouds,-21.3393,55.4781,Alize Plage
50,Yulara,AU,52.36,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
51,Lewisporte,CA,68.72,clear sky,49.2499,-55.0482,Ocean View Bed & Breakfast
52,Zeya,RU,51.91,broken clouds,53.75,127.2667,Kapital Inn
53,Narsaq,GL,53.82,overcast clouds,60.9167,-46.05,Sleep In Narsaq
